Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Guatemala,GTM,"Natural capital per capita, forests: timber (constant 2018 US$)",NW.NCA.FTIM.PC,659.80668128048,599.601723276354,568.945358467668,535.407300846357,489.492152256991,430.096167787389,420.356565286886,383.190603663813,366.375368530857,347.194192463612,325.341671600195,319.672031810161,320.637185147177,317.923677674628,313.204030861716,387.300842684787,403.190189146465,417.932734746575,442.071284110878,494.883482554209,457.346113980773,468.875520330412,461.801773454763,412.997085018741
Guatemala,GTM,"Natural capital per capita, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.PC,157.263403789328,198.37308274667,173.325346505285,143.179177006986,262.610818047533,352.057960408188,384.203506764027,419.191628914022,493.525126276144,566.983458859746,604.002376223732,664.88843614076,312.625910697616,341.608317470393,324.303432986491,315.043630947608,310.228100502341,293.749770107866,263.675844197001,260.261338983486,229.350871017492,186.683833654007,137.846945890386,113.525917041463
Guatemala,GTM,"Natural capital per capita, mangroves (constant 2018 US$)",NW.NCA.MANG.PC,2.6665957508419,2.66694323314782,2.66696209234748,2.66542691954422,2.66231296898697,2.65616831789492,2.64961547257883,2.64463972272165,2.64161717017249,2.63893713847709,2.63648766361837,2.63436533035045,2.63259034087666,2.63115429765235,2.63003158800928,2.6292069570449,2.88608397022302,3.13416055678087,3.37328417047277,3.60415209462306,3.82754098617972,4.04377250696112,4.25315271691659,4.45593147186743
Guatemala,GTM,"Natural capital per capita, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.PC,157.339163245036,198.458833101689,173.925824102665,143.603903970145,268.135720334897,361.113089241132,394.186658976282,421.84605098816,512.533954242249,567.531982765408,620.720019015347,721.186051188738,418.092729989591,494.016979585416,461.577590127171,498.841611566905,551.357108180384,556.650073295192,532.905387424747,635.32356291669,570.235630946434,469.955593200679,388.937901020199,363.755086645162
Guatemala,GTM,"Natural capital per capita, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,GTM,"Natural capital per capita, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903238149273852
Guatemala,GTM,"Natural capital per capita, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.PC,0.0757594557081696,0.0857503550190305,0.600477597380749,0.424726963159534,5.52490228736401,9.05512883294453,9.98315221225536,2.65442207413848,19.0088279661053,0.548523905661288,16.7176427916152,56.2976150479776,105.466819291975,152.408662115023,137.27415714068,183.797980619298,241.129007678043,262.900303187325,269.229543227746,375.062223933204,340.884759928942,283.271759546672,251.090955129814,250.229169603699
Guatemala,GTM,"Natural capital per capita, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.PC,157.263403789328,198.37308274667,173.325346505285,143.179177006986,262.610818047533,352.057960408188,384.203506764027,419.191628914022,493.525126276144,566.983458859746,604.002376223732,664.88843614076,312.625910697616,341.608317470393,324.303432986491,315.043630947608,310.228100502341,293.749770107866,263.675844197001,260.261338983486,229.350871017492,186.683833654007,137.846945890386,112.622678892189
Guatemala,GTM,"Natural capital per capita, protected areas (constant 2018 US$)",NW.NCA.PRAR.PC,603.641918119872,566.269159486402,544.99029846035,531.341634499881,490.326419921761,463.654389490546,451.751924939787,435.275430277935,432.56426451066,432.949279607821,466.520422850809,552.030761756948,590.993681144844,639.682078382831,696.24077135192,775.156700574424,859.404382728234,914.067983546446,954.637108947513,907.902296522428,868.742344975771,817.491301656126,497.814261893996,471.537643086527
Guatemala,GTM,"Natural capital per capita, renewable (constant 2018 US$)",NW.NCA.RNEW.PC,5120.88315072927,4930.9342249034,4735.11752811237,4666.60471705371,4410.82355718086,4179.06715955933,4050.13773745943,3808.41741125288,3699.58693748025,3561.12774936996,3595.872491286,3664.85613139171,3800.35162796438,4029.87860051448,4206.53915107945,4575.15830631988,4951.80703805216,5044.36804440471,5152.86833076812,5052.91957527745,4838.37697365022,4609.02328547181,4228.3285479447,3801.57041287921
Guatemala,GTM,"Natural capital, agricultural land (constant 2018 US$)",NW.NCA.AGRI.TO,29323302016.6369,29370381660.9999,29461435610.1323,29404061264.7864,28623677256.3042,27775800494.0942,27266804716.9397,26043805046.617,25615631887.4381,25292265923.76,26525708235.82,27602654886.1743,29671254919.0557,32806020389.2841,35724843437.2755,39383179804.4694,44526082763.8216,45904886554.9007,47304649014.1203,47014940750.992,45830697932.1398,43761473757.4333,43860765619.194,39181669758.2225
