Country.Name,Continent,Country Code,Year,Human capital,Human capital per capita,"Human capital per capita, employed female","Human capital per capita, employed male","Human capital per capita, female","Human capital per capita, male","Human capital per capita, self-employed female","Human capital per capita, self-employed male","Human capital, employed female","Human capital, employed male","Human capital, female","Human capital, male","Human capital, self-employed female","Human capital, self-employed male",Natural capital,Natural capital per capita,"Natural capital per capita, agricultural land","Natural capital per capita, agricultural land: cropland","Natural capital per capita, agricultural land: pastureland","Natural capital per capita, fisheries","Natural capital per capita, forests: ecosystem services","Natural capital per capita, forests: timber","Natural capital per capita, fossil fuels","Natural capital per capita, mangroves","Natural capital per capita, nonrenewable assets","Natural capital per capita, nonrenewable assets: coal","Natural capital per capita, nonrenewable assets: gas","Natural capital per capita, nonrenewable assets: minerals","Natural capital per capita, nonrenewable assets: oil","Natural capital per capita, protected areas","Natural capital per capita, renewable","Natural capital, agricultural land","Natural capital, agricultural land: cropland","Natural capital, agricultural land: pastureland","Natural capital, fisheries","Natural capital, forests: ecosystem services","Natural capital, forests: timber","Natural capital, fossil fuels","Natural capital, mangroves","Natural capital, nonrenewable assets","Natural capital, nonrenewable assets: coal","Natural capital, nonrenewable assets: gas","Natural capital, nonrenewable assets: minerals","Natural capital, nonrenewable assets: oil","Natural capital, protected areas","Natural capital, renewable",Net foreign assets,Net foreign assets per capita,Produced capital,Produced capital per capita,Total wealth,Total wealth per capita
Albania,Europe,ALB,2016,75716975792.8058,26326.2575941547,3072.50390648165,17817.1035161988,3872.14214534549,22454.1154488092,799.638238863814,4637.01193261041,8836831557.93578,51243789240.0429,11136671896.3703,64580303896.4357,2299840338.43445,13336514656.3927,27214590920.5282,9462.32101046806,4924.09203059905,2262.01042013308,2662.08161046597,2.11719776859217,1018.70284797335,197.719223237815,1722.37020138988,0,1803.47068488911,1.54534083681714,13.0451959159185,81.1004834992322,1707.77966463714,1516.21902600014,7658.85032557895,14162186013.298,6505770431.35516,7656415581.94279,6089274.6194457,2929892279.75901,568660455.673502,4953710658.58763,0,5186963840.28025,4444556.3261106,37519301.0189692,233253181.692625,4911746801.24255,4360799056.89803,22027627080.2479,-6077543228.56898,-2113.11884685864,81229070758.1742,28242.7740744064,178083094242.939,61918.2338321705
Albania,Europe,ALB,2004,52251375958.6172,17262.1172605782,2086.84569462626,10969.6653343867,2759.03532002717,14503.081940551,672.189625400904,3533.41660616424,6316754620.0463,33204507817.6033,8351431612.56773,43899944346.0494,2034676992.52139,10695436528.4462,15858949015.1996,5239.26944520508,3885.89868879034,1295.29476009003,2590.60392870031,14.3332418245418,794.09409067249,48.2953251462026,465.5141732634,0,471.270204643257,1.54356293325576,12.0784565059124,5.7560313798571,451.892153824232,25.3778941282537,4767.99924056183,11762378291.1483,3920778225.81216,7841600065.33618,43385848.6751366,2403674372.7261,146187003.202721,1409083006.10374,0,1426506161.97266,4672270.84162627,36560751.0575499,17423155.8689133,1367849984.20457,76817337.474682,14432442853.227,-1029536816.29914,-340.124732047505,56961189793.4724,18818.0831504937,124041977950.99,40979.3451242295
Albania,Europe,ALB,2008,63436725070.2658,21523.5719947945,2664.12585507368,14232.0278603574,3393.76082927693,18129.8111655176,729.63497420325,3897.7833051602,7852015430.42062,41946254961.2215,10002478804.7795,53434246265.4863,2150463374.35888,11487991304.2649,16622542898.7829,5639.89547729997,3603.86267244803,1297.823963779,2306.03870866903,0,876.476871724125,51.8066467993288,815.314638696031,0,1028.15934729295,5.45862592203548,11.299761973936,212.844708596916,798.55625080006,79.5899390355352,4611.73613000702,10621714908.5835,3825094737.98133,6796620170.60217,0,2583252554.70872,152690455.404717,2402988249.03375,0,3030308438.50737,16088284.6007781,33303946.6624493,627320189.473611,2353596017.77053,234576541.578579,13592234460.2755,-3070640888.48824,-1041.84382406769,66465189245.148,22551.1055982322,143453816325.708,48672.729246259
Albania,Europe,ALB,2011,68535249253.0455,23590.584884335,2848.52301861255,15798.5445700258,3603.69391842101,19986.890965914,755.170899808442,4188.34639588811,8275514831.05809,45897852692.1162,10469433553.3271,58065815699.7184,2193918722.26899,12167963007.6022,18543741155.8076,6382.95920095127,3919.1119018138,1505.70368280026,2413.40821901354,0,925.225249704719,101.322406742887,1111.86233029744,0,1321.71092462662,3.90192163638966,15.1747001880168,209.848594329178,1092.78570847304,115.588718063242,5061.24827632465,11385784301.59,4374362810.7529,7011421490.83705,0,2687959769.3159,294361349.457401,3230176882.66848,0,3839827969.67064,11335843.2284311,44085463.1127253,609651087.002155,3174755576.32733,335807765.773739,14703913186.137,-5488282709.31169,-1889.1271358073,73337116215.448,25243.4401874738,154927823914.989,53327.8571369527
Albania,Europe,ALB,2003,52074804528.6809,17132.0339571449,2016.02028326023,10641.0640386906,2728.79022313282,14403.2437340121,712.769939872599,3762.17969532152,6127927509.32232,32344748509.0284,8294474422.87808,43780330105.8028,2166546913.55579,11435581596.7744,15800960883.7623,5198.34113380187,3945.78766844289,1335.9053172189,2609.88235122399,8.92758019256216,764.017851568664,48.946356968381,407.738314266436,0,407.738314266436,0.467835215047701,10.1224984825062,0,397.147980568882,22.9233623629338,4790.60281953543,11993679329.6017,4060639176.70364,7933040152.89807,27136415.594595,2322320885.91374,148778129.782802,1239367903.85729,0,1239367903.85729,1422039.40502243,30768508.3474017,0,1207177356.10486,69678219.0121715,14561592979.905,-1407806530.02228,-463.152756802924,55112827012.9922,18131.5097081316,121580785895.413,39998.7320422755
Albania,Europe,ALB,2015,73727868221.5645,25593.7068908403,2987.54454097286,17307.0124774391,3767.62790316731,21826.078987673,780.083362194467,4519.06651023384,8606228521.81413,49856362764.7964,10853417003.5378,62874451218.0267,2247188481.72369,13018088453.2302,25229850088.2279,8758.22675514551,4876.61826101942,2157.08245791201,2719.53580310741,2.17904154450862,964.400874937426,204.642855625162,1762.90893279011,0,1880.41560224048,1.61178885567901,14.0581781776441,117.506669450366,1747.23896575679,829.970119778517,6877.81115290503,14048088854.3734,6213913907.75451,7834174946.61891,6277171.51439062,2778152493.63487,589515288.127971,5078417051.41528,0,5416918866.62096,4643084.9919211,40497436.0508738,338501815.205678,5033276530.37248,2390897413.95633,19812931221.607,-5794897564.80237,-2011.62617763871,79664143354.1404,27654.4105220637,172826964099.13,59994.7179904108
Albania,Europe,ALB,1996,43430547992.2308,13708.9948217808,3355.54905639016,6353.73677617174,4737.85666954111,8971.13815223974,1382.30761315094,2617.401376068,10630490143.7629,20128847780.2257,15009686278.3763,28420861713.8545,4379196134.6134,8292013933.62884,20342887220.0056,6421.29902687429,4636.0447237764,2188.44997133358,2447.59475244282,9.67519671233014,564.042235098125,501.873129680065,669.062221475797,0,700.260460680623,4.99236693514777,19.5292989147561,31.1982392048253,644.540555625893,9.40328092674319,5721.03856619366,14687142674.3995,6933081728.03384,7754060946.36569,30651342.4661534,1786904414.18462,1589950636.63973,2119611196.68863,0,2218448248.03142,15815983.198657,61869463.4288115,98837051.3427803,2041925750.06117,29789904.284193,18124438971.9742,-138784538.419905,-43.807794432667,50161444852.8818,15833.6244770436,113796095526.698,35920.110531266
Albania,Europe,ALB,2006,56861772240.407,19001.129218825,2323.01295913024,12268.4763023794,3025.04210655682,15976.0871122682,702.029147426594,3707.61080988872,6951725461.80631,36713991953.2567,9052580680.8503,47809191559.5567,2100855219.04401,11095199606.3,15690558469.0375,5243.2120427975,3762.55773944226,1274.77146732588,2487.78627211638,5.65177929754676,751.339939223811,42.4048356878974,603.905326414263,0,649.347611149667,2.29994507787021,9.96782813924381,45.442284735404,591.637553197149,31.9101379963241,4593.86443164784,11259630875.4947,3814813530.23165,7444817345.26305,16913215.1815357,2248420081.1044,126898463.82331,1807215072.84502,0,1943203245.7031,6882693.74294526,29829194.1946096,135988172.858079,1770503184.90747,95492587.7304858,13747355223.3344,-1625642551.42103,-543.230415903587,61387958881.9879,20513.6156197339,132314647040.011,44214.7264654528
Albania,Europe,ALB,1998,38792147742.2448,12399.4808239796,3013.39056132053,5901.07241937683,4191.44468502038,8208.03613895919,1178.05412369985,2306.96371958234,9427482772.80813,18461682096.193,13113060440.4268,25679087301.818,3685577667.6187,7217405205.62493,14913597354.2437,4766.96638812597,3678.3943549651,1557.57486445376,2120.81949051134,6.46202545802154,554.095646587751,76.3856719535904,416.622173704422,0,423.665429520581,0.594039894656792,6.23587500437771,7.04325581615832,409.792258805388,27.9632596409197,4343.30095860539,11507967091.339,4872919690.68952,6635047400.64946,20216640.5061841,1733504853.21918,238974866.276966,1303414969.0995,0,1325450006.21802,1858471.63163061,19509122.0274458,22035037.1185258,1282047375.44042,87483896.6844066,13588147348.0257,-453107835.274288,-144.83090629602,49857020713.7664,15936.2450460013,103109657974.981,32957.8613518108
Albania,Europe,ALB,2001,47629933713.3203,15564.4578634346,3783.82054567262,7607.77077243898,5169.87607800543,10394.5817854292,1386.05553233283,2786.8110129902,11579145470.7126,23281094708.0069,15820715187.2581,31809218526.0622,4241569716.54554,8528123818.05525,15529516470.0262,5074.71847834295,3887.12993414112,1475.10826490574,2412.02166923538,9.7025752498081,747.882818774572,59.9105006881314,353.219054091075,0,353.219054091075,0.365466340817644,7.05636503849269,0,345.797222711765,16.8735953982425,4721.49942425187,11895290071.9504,4514086484.34138,7381203587.60905,29691558.809931,2288650809.17784,183336496.622301,1080911412.41505,0,1080911412.41505,1118390.22857895,21593697.7689393,0,1058199324.41753,51636121.050626,14448605057.6111,-869703045.850036,-284.20061409928,52236489242.4754,17069.7830620933,114526236379.972,37424.7587897717
